"General","General"
"Enable","Enable"
"Sections","Sections"
"In which sections the editor should appear","In which sections the editor should appear"
"Preferences","Preferences"
"Highlight active line","Highlight active line"
"Activate Emmet plugin","Activate Emmet plugin"
"By enabling this plugin the HTML editor will be extended with <a href=""https://github.com/emmetio/codemirror"" target=""_blank"">Emmet</a> functionality","By enabling this plugin the HTML editor will be extended with <a href=""https://github.com/emmetio/codemirror"" target=""_blank"">Emmet</a> functionality"
"Keymaps are ways to associate keys with functionality","Keymaps are ways to associate keys with functionality"
"How many spaces a block should be indented","How many spaces a block should be indented"
"Whether the editor should scroll or wrap for long lines","Whether the editor should scroll or wrap for long lines"
"Will cause HTML tags around the cursor to be highlighted","Will cause HTML tags around the cursor to be highlighted"
"Will auto-close HTML tags","Will auto-close HTML tags"
"Search and highlight occurrences of the selected text","Search and highlight occurrences of the selected text"
"Activate search dialog","Activate search dialog"
"HTML autocomplete","HTML autocomplete"
"Appearance","Appearance"
"Font size","Font size"
"Font size of the editor (in pixels)","Font size of the editor (in pixels)"
"Auto format","Auto format"
"Wrap lines at next opportunity after N characters","Wrap lines at next opportunity after N characters"
"Whether the HTML code should be auto formatted or not","Whether the HTML code should be auto formatted or not"
"Theme","Theme"
"<a href=""https://codemirror.net/demo/theme.html"" target=""_blank"">Click here for a demo of all available themes</a>","<a href=""https://codemirror.net/demo/theme.html"" target=""_blank"">Click here for a demo of all available themes</a>"
