"General","Algemeen"
"Enable","Inschakelen"
"Sections","Onderdelen"
"Select the sections where the editor should be active","Selecteer de onderdelen waar de editor getoond moet worden"
"Preferences","Voorkeuren"
"Highlight active line","Highlight actieve regel"
"Activate Emmet plugin","Activeer Emmet plugin"
"By enabling this plugin the HTML editor will be extended with <a href=""https://github.com/emmetio/codemirror"" target=""_blank"">Emmet</a> functionality","Door deze plugin te activeren wordt de editor uitgebreid met <a href=""https://github.com/emmetio/codemirror"" target=""_blank"">Emmet</a> functionaliteit"
"Keymaps are ways to associate keys with functionality","Keymaps worden gebruikt om toetsencombinaties aan bepaalde functionaliteit te koppelen"
"How many spaces a block should be indented","Hoeveel spaties een blok ingesprongen dient te worden vanaf de kantlijn"
"Whether the editor should scroll or wrap for long lines","Zorgt ervoor dat de editor lange regels afkapt"
"Will cause HTML tags around the cursor to be highlighted","Markeert tags waar de cursor staat"
"Search and highlight occurrences of the selected text","Zoekt en markeert teksten die overeenkomen met de geselecteerde tekst"
"Activate search dialog","Activeer zoekbox"
"HTML autocomplete","HTML auto-aanvullen"
"Appearance","Uiterlijk"
"Font size","Letter grootte"
"Font size of the editor (in pixels)","Letter grootte van de editor (in pixels)"
"Auto format","Auto format"
"Wrap lines at next opportunity after N characters","Kap regels af na een X-aantal karakters"
"Whether the HTML code should be auto formatted or not","Of de HTML code automatisch geformateerd dient te worden"
"Theme","Thema"
"<a href=""https://codemirror.net/demo/theme.html"" target=""_blank"">Click here for a demo of all available themes</a>","<a href=""https://codemirror.net/demo/theme.html"" target=""_blank"">Klik hier voor een demo van alle beschikbare thema's</a>"
